drug_id,reference_id,note,created_at,updated_at
RDC00820,RE00481,,,
RDC00821,RE00482,,,
RDC00822,RE00482,,,
RDC00823,RE00483,,,
RDC00824,RE00484,,,
RDC00825,RE00485,,,
RDC00826,RE00486,,,
RDC00827,RE00486,,,
RDC00828,RE00487,,,
RDC00829,RE00488,,,
RDC00830,RE00489,,,
RDC00831,RE00489,,,
RDC00832,RE00490,,,
RDC00833,RE00490,,,
RDC00834,RE00490,,,
RDC00836,RE00491,,,
RDC00837,RE00491,,,
RDC00838,RE00492,,,
RDC00839,RE00492,,,
RDC00840,RE00492,,,
RDC00841,RE00493,,,
RDC00842,RE00494,,,
RDC00843,RE00495,,,
RDC00844,RE00495,,,
RDC00845,RE00495,,,
RDC00823,RE00496,,,
RDC00841,RE00496,,,
RDC00846,RE00497,,,
RDC00847,RE00497,,,
RDC00848,RE00497,,,
RDC00849,RE00497,,,
RDC00850,RE00498,,,
RDC00851,RE00498,,,
RDC00852,RE00499,,,
RDC00854,RE00500,,,
RDC00855,RE00501,,,
RDC00856,RE00502,,,
RDC00857,RE00502,,,
RDC00858,RE00503,,,
RDC00860,RE00504,,,
RDC00861,RE00504,,,
RDC00862,RE00505,,,
RDC00853,RE00506,,,
RDC00854,RE00506,,,
RDC00863,RE00506,,,
RDC00865,RE00506,,,
RDC00871,RE00507,,,
RDC00836,RE00507,,,
RDC00868,RE00507,,,
RDC00869,RE00507,,,
RDC00870,RE00507,,,
RDC01001,RE00508,,,
RDC01002,RE00509,,,
RDC01003,RE00509,,,
RDC01004,RE00510,,,
RDC01004,RE00511,,,
RDC01005,RE00512,,,
RDC01006,RE00513,,,
RDC01007,RE00514,,,
RDC01008,RE00514,,,
RDC01009,RE00515,,,
RDC01010,RE00515,,,
RDC01011,RE00515,,,
RDC01012,RE00516,,,
RDC01013,RE00516,,,
RDC01012,RE00517,,,
RDC01015,RE00518,,,
RDC01016,RE00519,,,
RDC01017,RE00520,,,
RDC01019,RE00521,,,
RDC01020,RE00522,,,
RDC01021,RE00522,,,
RDC01022,RE00523,,,
RDC01024,RE00524,,,
RDC01025,RE00524,,,
RDC01026,RE00525,,,
RDC01027,RE00526,,,
RDC01028,RE00527,,,
RDC01029,RE00528,,,
RDC01005,RE00529,,,
RDC01005,RE00530,,,
RDC01004,RE00531,,,
RDC01032,RE00532,,,
RDC01033,RE00533,,,
RDC01034,RE00534,,,
RDC01035,RE00534,,,
RDC01036,RE00535,,,
RDC01038,RE00536,,,
RDC01039,RE00536,,,
RDC01040,RE00537,,,
RDC01041,RE00537,,,
RDC01042,RE00537,,,
RDC01043,RE00538,,,
RDC01043,RE00539,,,
RDC01044,RE00540,,,
RDC01045,RE00541,,,
RDC01050,RE00542,,,
RDC01050,RE00543,,,
RDC01052,RE00544,,,
RDC01055,RE00545,,,
RDC01057,RE00546,,,
RDC01057,RE00547,,,
RDC01057,RE00548,,,
RDC01057,RE00549,,,
RDC01060,RE00550,,,
RDC01061,RE00551,,,
RDC01062,RE00552,,,
RDC01063,RE00553,,,
RDC01064,RE00554,,,
RDC01065,RE00555,,,
RDC01066,RE00555,,,
RDC01067,RE00556,,,
RDC01068,RE00556,,,
RDC01188,RE00557,,,
RDC01189,RE00558,,,
RDC01191,RE00559,,,
RDC01193,RE00560,,,
RDC01193,RE00561,,,
RDC01195,RE00562,,,
RDC01200,RE00563,,,
RDC01202,RE00564,,,
RDC01204,RE00565,,,
RDC01205,RE00565,,,
RDC01206,RE00565,,,
RDC01207,RE00566,,,
RDC01208,RE00566,,,
RDC01209,RE00566,,,
RDC01210,RE00566,,,
RDC01211,RE00566,,,
RDC01212,RE00567,,,
RDC01213,RE00568,,,
RDC01214,RE00569,,,
RDC01215,RE00570,,,
RDC01216,RE00570,,,
RDC01080,RE00571,,,
RDC01083,RE00572,,,
RDC01123,RE00573,,,
RDC01085,RE00574,,,
RDC01086,RE00574,,,
RDC01087,RE00574,,,
RDC01089,RE00575,,,
RDC01090,RE00575,,,
RDC01091,RE00575,,,
RDC01092,RE00575,,,
RDC01095,RE00576,,,
RDC01096,RE00576,,,
RDC01097,RE00577,,,
RDC01101,RE00578,,,
RDC01083,RE00578,,,
RDC01105,RE00579,,,
RDC01106,RE00580,,,
RDC01107,RE00581,,,
RDC01108,RE00581,,,
RDC01109,RE00582,,,
RDC01110,RE00582,,,
RDC01111,RE00583,,,
RDC01112,RE00584,,,
RDC01113,RE00585,,,
RDC01114,RE00585,,,
RDC01115,RE00585,,,
RDC01116,RE00585,,,
RDC01117,RE00586,,,
RDC01060,RE00587,,,
RDC01119,RE00588,,,
RDC01120,RE00588,,,
RDC01121,RE00589,,,
RDC01122,RE00589,,,
RDC01123,RE00590,,,
RDC01112,RE00591,,,
RDC01113,RE00591,,,
RDC01125,RE00592,,,
RDC01126,RE00592,,,
RDC01129,RE00594,,,
RDC01130,RE00594,,,
RDC01133,RE00595,,,
RDC01135,RE00597,,,
RDC01134,RE00598,,,
RDC01128,RE00599,,,
RDC01128,RE00600,,,
RDC01136,RE00601,,,
RDC01137,RE00601,,,
RDC01138,RE00602,,,
RDC01139,RE00602,,,
RDC01140,RE00602,,,
RDC01141,RE00602,,,
RDC01142,RE00603,,,
RDC01143,RE00603,,,
RDC01144,RE00603,,,
RDC01145,RE00603,,,
RDC01146,RE00604,,,
RDC01112,RE00605,,,
RDC01147,RE00606,,,
RDC01148,RE00607,,,
RDC01149,RE00607,,,
RDC01151,RE00608,,,
RDC01152,RE00608,,,
RDC01153,RE00609,,,
RDC01154,RE00610,,,
RDC01154,RE00611,,,
RDC01154,RE00612,,,
RDC01155,RE00613,,,
RDC01156,RE00614,,,
RDC01158,RE00615,,,
RDC01159,RE00615,,,
RDC01160,RE00615,,,
RDC01161,RE00616,,,
RDC01162,RE00616,,,
RDC01163,RE00617,,,
RDC01164,RE00617,,,
RDC01165,RE00618,,,
RDC01166,RE00619,,,
RDC01167,RE00619,,,
RDC01168,RE00620,,,
RDC01169,RE00620,,,
RDC01170,RE00620,,,
RDC01171,RE00620,,,
RDC01172,RE00621,,,
RDC01173,RE00622,,,
RDC01174,RE00623,,,
RDC01179,RE00624,,,
RDC01180,RE00624,,,
RDC01181,RE00625,,,
RDC01182,RE00626,,,
RDC01183,RE00627,,,
RDC01184,RE00628,,,
RDC01185,RE00629,,,
RDC01186,RE00630,,,
RDC01187,RE00631,,,
RDC01082,RE00632,,,
RDC01221,RE00633,,,
RDC00009,RE00634,,,
RDC01223,RE00635,,,
RDC01224,RE00635,,,
RDC01225,RE00635,,,
RDC01226,RE00636,,,
RDC01227,RE00636,,,
RDC01312,RE00637,,,
RDC01228,RE00637,,,
RDC00009,RE00638,,,
RDC01258,RE00639,,,
RDC01235,RE00640,,,
RDC01236,RE00640,,,
RDC01312,RE00641,,,
RDC01237,RE00642,,,
RDC01238,RE00643,,,
RDC01241,RE00644,,,
RDC01243,RE00645,,,
RDC01226,RE00646,,,
RDC01227,RE00646,,,
RDC01245,RE00647,,,
RDC01226,RE00648,,,
RDC01369,RE00649,,,
RDC01247,RE00650,,,
RDC01248,RE00650,,,
RDC01250,RE00650,,,
RDC01251,RE00651,,,
RDC01253,RE00652,,,
RDC01256,RE00653,,,
RDC01257,RE00653,,,
RDC01258,RE00653,,,
RDC01267,RE00654,,,
RDC01228,RE00654,,,
RDC01269,RE00654,,,
RDC01271,RE00655,,,
RDC01267,RE00656,,,
RDC01228,RE00656,,,
RDC01228,RE00657,,,
RDC01227,RE00657,,,
RDC01226,RE00657,,,
RDC01228,RE00658,,,
RDC01279,RE00659,,,
RDC01287,RE00661,,,
RDC01288,RE00661,,,
RDC01289,RE00662,,,
RDC01290,RE00662,,,
RDC01291,RE00663,,,
RDC01292,RE00663,,,
RDC01293,RE00663,,,
RDC01268,RE00664,,,
RDC01295,RE00664,,,
RDC01296,RE00664,,,
RDC01297,RE00664,,,
RDC01298,RE00664,,,
RDC01228,RE00665,,,
RDC01227,RE00665,,,
RDC01226,RE00665,,,
RDC001268,RE00666,,,
RDC01226,RE00667,,,
RDC01252,RE00668,,,
RDC01226,RE00669,,,
RDC01254,RE00670,,,
RDC01255,RE00670,,,
RDC01302,RE00671,,,
RDC01226,RE00672,,,
RDC01226,RE00673,,,
