drug_id,indication_id,evidence,created_at,updated_at
RDC00875,IN00016,,,
RDC00876,IN00050,,,
RDC00876,IN00016,,,
RDC00877,IN00050,,,
RDC00877,IN00016,,,
RDC00878,IN00050,,,
RDC00878,IN00016,,,
RDC00879,IN00050,,,
RDC00879,IN00016,,,
RDC00880,IN00006,,,
RDC00881,IN00065,,,
RDC00882,IN00065,,,
RDC00883,IN00065,,,
RDC00884,IN00065,,,
RDC00885,IN00065,,,
RDC00886,IN00041,,,
RDC00887,IN00065,,,
RDC00888,IN00065,,,
RDC00889,IN00065,,,
RDC00890,IN00065,,,
RDC00891,IN00065,,,
RDC00892,IN00065,,,
RDC00893,IN00065,,,
RDC00894,IN00065,,,
RDC00895,IN00005,,,
RDC00896,IN00005,,,
RDC00897,IN00027,,,
RDC00898,IN00038,,,
RDC00899,IN00038,,,
RDC00900,IN00038,,,
RDC00901,IN00038,,,
RDC00902,IN00038,,,
RDC00903,IN00065,,,
RDC00904,IN00041,,,
RDC00905,IN00041,,,
RDC00906,IN00041,,,
RDC00908,IN00065,,,
RDC00909,IN00076,,,
RDC00910,IN00041,,,
RDC00911,IN00075,,,
RDC00911,IN00002,,,
RDC00912,IN00075,,,
RDC00912,IN00002,,,
RDC00913,IN00075,,,
RDC00913,IN00002,,,
RDC00914,IN00041,,,
RDC00915,IN00041,,,
RDC00916,IN00007,,,
RDC00917,IN00007,,,
RDC00918,IN00007,,,
RDC00919,IN00007,,,
RDC00925,IN00065,,,
RDC00927,IN00065,,,
RDC00928,IN00032,,,
RDC00929,IN00032,,,
RDC00934,IN00065,,,
RDC00935,IN00067,,,
RDC00936,IN00065,,,
RDC00937,IN00065,,,
