affinity_id,chemical_entity_id,affinity_type,affinity_symbols,affinity_value,affinity_unit,description,source,created_at,updated_at
CHAF00438,LIG00679,KD,=,3.14 ± 0.05,nM,SPR (Biacore),,,
CHAF00439,CC01579,KD,=,4.06± 0.07,nM,SPR (Biacore),,,
CHAF00440,CC01584,KD,=,0.13,nM,"SPR, Biacore 3000",,,
CHAF00441,CC01585,KD,=,0.14,nM,"SPR, Biacore 3000",,,
CHAF00442,CC01586,KD,=,0.09,nM,"SPR, Biacore 3000",,,
CHAF00443,LIG00717,KD,=,29,pM,Cell binding assay (SKOV-3 cells); antigen-binding capacity evaluated via receptor saturation,,,
CHAF00444,LIG00697,KD,=,27,pM,Cell binding assay (SKOV-3 cells); antigen-binding capacity = 86%±1.6% (SKOV-3 cells),,,
CHAF00445,CC01599,KD,=,72,pM,Surface plasmon resonance (Biacore),,,
CHAF00446,CC01601,KD,=,74,pM,Surface plasmon resonance (Biacore),,,
CHAF00447,LIG00372,IC50,=,4.4,nM,,,,
CHAF00448,LIG00267,IC50,=,25.2,nM,,,,
CHAF00449,LIG00342,IC50,=,4.28 ± 0.33 nM,,,,,
CHAF00450,CC00919,IC50,=,3.3 ± 0.5,nM,Competitive binding assay,,,
CHAF00451,CC00898,IC50,=,3.5,nM,Competitive binding assay on PC295 xenograft sections,,,
CHAF00452,CC00937,KD,=,2,nM,,,,
CHAF00453,CC01603,IC50,=,7.2,nM,Competition binding vs [125I-Tyr4]BBN in PC-3 cells,,,
CHAF00454,CC00923,IC50,=,8.2,nM,Competition binding vs [125I-Tyr4]BBN in PC-3 cells,,,
CHAF00455,CC01604,IC50,=,5.4,nM,Competition binding vs [125I-Tyr4]BBN in PC-3 cells,,,
CHAF00456,CC00855,IC50,=,1.28,nM,Competition binding vs [125I-Tyr4]BBN in PC-3 membranes,,,
CHAF00457,CC00851,IC50,=,1.24,nM,Competition binding in PC-3 cells,,,
CHAF00458,CC00922,IC50,=,4~7,nM,Competitive binding assay in PC3 cells,,,
CHAF00459,CC00922,IC50,=,10~16,nM,Competitive binding assay in LNCaP cells,,,
CHAF00460,CC01605,IC50,=,1.97,nM,Competitive binding assay,,,
CHAF00461,CC00857,IC50,=,2.79,nM,Competitive binding assay,,,
CHAF00462,CC00931,IC50,=,0.73 6 0.42,nM,Displacement of [125I-Tyr4]BBN from GRPR on PC-3 membranes,,,
CHAF00463,CC00932,IC50,=,2.03 6 1.06,,Displacement of [125I-Tyr4]BBN from GRPR on PC-3 membranes,,,
CHAF00464,CC00933,IC50,=,2.96 61.33,,Displacement of [125I-Tyr4]BBN from GRPR on PC-3 membranes,,,
CHAF00465,CC00934,IC50,=,5 9.29 6 3.55,,Displacement of [125I-Tyr4]BBN from GRPR on PC-3 membranes,,,
CHAF00466,CC00935,IC50,=,0.28 6 0.02,,Displacement of [125I-Tyr4]BBN from GRPR on PC-3 membranes,,,
CHAF00467,CC00936,IC50,=,1.78 6 0.32,nM,Displacement of [125I-Tyr4]BBN from GRPR on PC-3 membranes,,,
CHAF00468,LIG00740,IC50,=,5 1.66 ± 0.12,nM,Displacement of [125I-Tyr4]BBN from GRPR on PC-3 membranes,,,
CHAF00469,CC01608,IC50,=,2.3 ± 0.2,nM,Against [¹²⁵I-Tyr⁴]BBN in PC-3 membranes,,,
CHAF00470,CC01609,Kd,=,1.1,μM,Dissociation constant,,,
CHAF00471,CC00925,IC50,=,1.33 ± 0.09,nM,,,,
