drug_id,target_id,evidence,created_at,updated_at
RDC01186,TAR0005,,,
RDC01187,TAR0005,,,
RDC01188,TAR0074,,,
RDC01189,TAR0074,,,
RDC01191,TAR0074,,,
RDC01193,TAR0074,,,
RDC01195,TAR0074,,,
RDC01196,TAR0074,,,
RDC01197,TAR0074,,,
RDC01200,TAR0074,,,
RDC01202,TAR0074,,,
RDC01204,TAR0074,,,
RDC01205,TAR0074,,,
RDC01206,TAR0074,,,
RDC01207,TAR0074,,,
RDC01208,TAR0074,,,
RDC01209,TAR0074,,,
RDC01210,TAR0074,,,
RDC01211,TAR0074,,,
RDC01212,TAR0075,,,
RDC01213,TAR0005,,,
RDC01214,TAR0005,,,
RDC01215,TAR0074,,,
RDC01216,TAR0074,,,
RDC01221,TAR0001,,,
RDC01223,TAR0001,,,
RDC01224,TAR0001,,,
RDC01225,TAR0001,,,
RDC01226,TAR0001,,,
RDC01227,TAR0001,,,
RDC01228,TAR0001,,,
RDC01231,TAR0001,,,
RDC01235,TAR0001,,,
RDC01236,TAR0001,,,
RDC01237,TAR0001,,,
RDC01238,TAR0001,,,
RDC01241,TAR0001,,,
RDC01243,TAR0001,,,
RDC01245,TAR0001,,,
RDC01247,TAR0001,,,
RDC01248,TAR0001,,,
RDC01250,TAR0001,,,
RDC01251,TAR0001,,,
RDC01253,TAR0001,,,
RDC01256,TAR0001,,,
RDC01257,TAR0001,,,
RDC01258,TAR0001,,,
RDC01259,TAR0001,,,
RDC01262,TAR0001,,,
RDC01267,TAR0001,,,
RDC01269,TAR0001,,,
RDC01271,TAR0001,,,
RDC01279,TAR0001,,,
RDC01287,TAR0023,,,
RDC01288,TAR0040,,,
RDC01289,TAR0001,,,
RDC01290,TAR0001,,,
RDC01291,TAR0001,,,
RDC01292,TAR0001,,,
RDC01293,TAR0001,,,
RDC01268,TAR0001,,,
RDC01295,TAR0001,,,
RDC01296,TAR0001,,,
RDC01297,TAR0001,,,
RDC01298,TAR0001,,,
RDC01302,TAR0001,,,
RDC01305,TAR0001,,,
RDC01306,TAR0001,,,
RDC01309,TAR0001,,,
RDC01310,TAR0001,,,
RDC01311,TAR0001,,,
RDC01313,TAR0001,,,
RDC01314,TAR0001,,,
RDC01315,TAR0001,,,
RDC01316,TAR0001,,,
RDC01317,TAR0001,,,
RDC01318,TAR0001,,,
RDC01319,TAR0001,,,
RDC01320,TAR0001,,,
RDC01321,TAR0001,,,
RDC01322,TAR0001,,,
RDC01324,TAR0001,,,
RDC01325,TAR0001,,,
RDC01326,TAR0001,,,
RDC01328,TAR0001,,,
RDC01329,TAR0001,,,
RDC01330,TAR0001,,,
RDC01333,TAR0001,,,
RDC01334,TAR0001,,,
RDC01335,TAR0001,,,
RDC01336,TAR0001,,,
RDC01337,TAR0001,,,
RDC01338,TAR0001,,,
RDC01339,TAR0001,,,
RDC01340,TAR0001,,,
RDC01341,TAR0001,,,
RDC01342,TAR0001,,,
RDC01343,TAR0001,,,
RDC01344,TAR0001,,,
RDC01345,TAR0001,,,
RDC01346,TAR0001,,,
RDC01347,TAR0001,,,
RDC01348,TAR0001,,,
RDC01349,TAR0001,,,
RDC01350,TAR0001,,,
RDC01351,TAR0001,,,
RDC01352,TAR0001,,,
RDC01353,TAR0001,,,
RDC01354,TAR0001,,,
RDC01355,TAR0001,,,
RDC01356,TAR0001,,,
RDC01357,TAR0001,,,
RDC01358,TAR0001,,,
RDC01359,TAR0001,,,
RDC01360,TAR0001,,,
RDC01362,TAR0001,,,
RDC01363,TAR0001,,,
RDC01364,TAR0001,,,
RDC01365,TAR0001,,,
RDC01567,TAR0001,,,
RDC01568,TAR0001,,,
RDC01569,TAR0001,,,
RDC01370,TAR0001,,,
RDC01371,TAR0001,,,
RDC01372,TAR0001,,,
RDC01374,TAR0001,,,
RDC01375,TAR0001,,,
RDC01380,TAR0001,,,
RDC01381,TAR0001,,,
RDC01383,TAR0001,,,
RDC01384,TAR0001,,,
RDC01385,TAR0001,,,
RDC01386,TAR0001,,,
RDC01390,TAR0001,,,
RDC01391,TAR0001,,,
RDC01392,TAR0001,,,
RDC01393,TAR0001,,,
RDC01395,TAR0001,,,
RDC01396,TAR0001,,,
RDC01397,TAR0001,,,
RDC01398,TAR0001,,,
RDC01399,TAR0001,,,
RDC01400,TAR0001,,,
RDC01401,TAR0001,,,
